image_name,place,date,label,scene
k0634.jpg,desconocido,desconocido,nada,playa
s0253.jpg,Playa Punta Cocos,29/08/2019,bajo,playa
r111.jpg,"Nachi Cocom, Isla de Cozumel",07/08/2021,bajo,playa
s0086.jpg,Cozumel Punta sur,07/09/2019,moderado,playa
r144.jpg,"Xcaret 21 de Mayo, Créditos de la Fotografía Dani López",22/05/2022,excesivo,playa
k0847.jpg,desconocido,desconocido,nada,playa
j0029.jpg,tulum,08/11/2022,nada,playa
r531.jpg,Playa del carmen,12/09/2022,nada,playa
s0663.jpg,Coco Tulum,19/09/2019,nada,playa
s0078.jpg,Cozumel Punta sur,08/09/2019,moderado,panoramica
k0382.jpg,desconocido,desconocido,bajo,playa
k0309.jpg,desconocido,desconocido,bajo,playa
s0174.jpg,Costa Mujeres,01/09/2019,abundante,playa
s0947.jpg,Puerto Morelos,30/07/2019,nada,mar
j0134.jpg,isla mujeres,08/09/2019,nada,mar
s0043.jpg,Playas las Palmas,22/08/2019,bajo,playa
i0164.jpg,Cancún,24/07/2022,nada,playa
k0725.jpg,desconocido,desconocido,nada,mar
s0746.jpg,Tulum,15/09/2019,nada,playa
j0213.jpg,punta maroma,01/09/2019,nada,playa
j0395.jpg,cancun,15/08/2019,excesivo,playa
k0360.jpg,desconocido,desconocido,moderado,playa
j0302.jpg,playa marlin,29/08/2019,bajo,playa
k0508.jpg,desconocido,desconocido,nada,playa
s0864.jpg,Puerto Morelos,02/08/2019,moderado,playa
k0072.jpg,desconocido,desconocido,nada,playa
s0093.jpg,Tulum,07/09/2019,nada,playa
s0705.jpg,Isla Mujeres,08/08/2019,nada,mar
r316.jpg,Buenos dias asi amanecio Costa mujeres hoy,13/03/2022,bajo,playa
k0933.jpg,desconocido,desconocido,bajo,playa
s0850.jpg,Playa del Carmen,02/08/2019,bajo,playa
r387.jpg,Así está en mamitas playa del Carmen ,01/04/2022,bajo,playa
r505.jpg,Playa Forum / Playa Chacmool / Playa Lagarto y Playa Gaviota Azul,14/09/2022,bajo,playa
k0701.jpg,desconocido,desconocido,bajo,playa
s0685.jpg,Isla Mujeres,15/09/2019,nada,playa
s0794.jpg,Tulum,07/08/2019,moderado,playa
s0944.jpg,Cancun,30/07/2019,nada,aerea
j0084.jpg,cancun,11/10/2022,nada,playa
j0374.jpg,cancun,20/08/2019,nada,playa
s0369.jpg,Playa Delfines Cancun,21/08/2019,bajo,playa
k0292.jpg,desconocido,desconocido,nada,playa
s0023.jpg,Rosa del viento Tulum,30/08/2019,bajo,playa
k0465.jpg,desconocido,desconocido,nada,playa
j0239.jpg,cancun,31/08/2019,nada,playa
s0964.jpg,Tulum,20/06/2019,excesivo,playa
s0851.jpg,Riviera Cancun,02/08/2019,nada,playa
i0135.jpg,Cancún,12/08/2022,bajo,playa
k0338.jpg,desconocido,desconocido,bajo,playa
j0182.jpg,cancun,03/09/2019,nada,playa
k0950.jpg,desconocido,desconocido,nada,playa
i0108.jpg,Playa del Carmen,22/08/2022,excesivo,aerea
k0026.jpg,desconocido,desconocido,abundante,playa
k0236.jpg,desconocido,desconocido,bajo,playa
k0543.jpg,desconocido,desconocido,nada,playa
k0509.jpg,desconocido,desconocido,nada,playa
k0343.jpg,desconocido,desconocido,bajo,playa
k0281.jpg,desconocido,desconocido,nada,playa
r167.jpg,Tulum muchísimo sargazo,16/06/2022,bajo,playa
k0785.jpg,desconocido,desconocido,nada,playa
j0172.jpg,playa del carmen,01/09/2019,nada,playa
s1006.jpg,Tulum (Costa Parque Nacional),07/07/2019,excesivo,playa
r062.jpg,"Playa Langosta, Hotel Casa Maya en la parte norte de la Zona Hotelera de Cancún, Créditos E.G.",04/06/2021,nada,playa
k0594.jpg,desconocido,desconocido,nada,playa
r100.jpg,"Playa Mamitas, Playa del Carmen, créditos Jenn Laru",24/06/2021,bajo,playa
s0682.jpg,Coco Tulum,19/09/2019,nada,playa
s0631.jpg,Playa Solidaridad,28/08/2019,abundante,playa
i0115.jpg,Cozumel,13/08/2022,nada,aerea
s0925.jpg,Puerto Morelos,04/08/2019,nada,playa
r465.jpg,"Hasta que los hoteles y el Gobierno no tomen alguna medida, no vuelvo más, ya dejó de ser un paraíso",12/09/2022,moderado,playa
s0172.jpg,Puerto Morelos,01/09/2019,bajo,playa
r075.jpg,"Hotel El Cozumeleño, Isla de Cozumel, créditos: Matej Chválek",06/06/2021,bajo,mar
s0620.jpg,Riviera Maya,17/09/2019,moderado,playa
r059.jpg,"Bahía Príncipe, créditos: Janeth Palmeros",04/06/2021,excesivo,playa
r276.jpg,desconocido,30/11/2021,bajo,playa
s0317.jpg,Playa Delfines Cancun,24/08/2019,nada,playa
s0935.jpg,Playa del Carmen,31/07/2019,moderado,aerea
r296.jpg,Holà... My yesterday walk between Mamitas and Las hijas beach club at the end of the day,09/03/2022,bajo,playa
i0048.jpg,Playa del Carmen,13/09/2022,abundante,playa
k0047.jpg,desconocido,desconocido,nada,playa
s0314.jpg,Playa Punta Cocos,24/08/2019,bajo,playa
k0643.jpg,desconocido,desconocido,nada,playa
j0066.jpg,playa del carmen ,12/10/2022,nada,playa
r353.jpg,Cozumel hotel allegro hoy,27/03/2022,bajo,playa
s0446.jpg,Playa del Carmen,14/08/2019,nada,playa
s0781.jpg,Xcacel,19/09/2019,bajo,playa
s0976.jpg,Mahahual,04/07/2019,nada,aerea
s0731.jpg,Diamante K,22/09/2019,nada,playa
k0727.jpg,desconocido,desconocido,nada,aerea
s0331.jpg,Riviera Cancun,23/08/2019,moderado,playa
r047.jpg,"Desde la playa del Crown Paradise, muy cerca de Playa Delfines en la Zona Hotelera de Cancún. Créditos: Elda Torres",03/06/2021,moderado,playa
k0361.jpg,desconocido,desconocido,moderado,playa
s0410.jpg,Akumal Lol Ha,18/08/2019,moderado,aerea
i0066.jpg,Xpu-Ha,07/09/2022,abundante,playa
i0086.jpg,Akumal,04/09/2022,abundante,playa
s0546.jpg,Xcacel,07/09/2019,abundante,playa
r361.jpg,"Playacar hotel viva maya, están todos iguales por esta zona algunos peor",30/03/2022,bajo,playa
r357.jpg,Punta sur cozumel hoy,28/03/2022,nada,playa
k0076.jpg,desconocido,desconocido,nada,playa
k0744.jpg,desconocido,desconocido,nada,aerea
r066.jpg,"Tulum Zona Arqueológica, créditos: Fabián Alvarado",05/06/2021,excesivo,playa
k0299.jpg,desconocido,desconocido,bajo,playa
k0075.jpg,desconocido,desconocido,nada,mar
r575.jpg,Xpu-ha. Increíble! Mar completamente limpio solo un poco de sargazo viejo en la orilla!!!,17/09/2022,bajo,playa
r041.jpg,"Playa de Palancar, Isla de Cozumel.",02/06/2021,nada,mar
r522.jpg,Gaviota azúl,30/08/2022,bajo,aerea
k0449.jpg,desconocido,desconocido,nada,playa
k0021.jpg,desconocido,desconocido,abundante,playa
k0613.jpg,desconocido,desconocido,bajo,playa
r526.jpg,Creo que es playa langosta,09/09/2022,nada,playa
j0028.jpg,tulum,08/11/2022,nada,playa
k0175.jpg,desconocido,desconocido,nada,playa
k0625.jpg,desconocido,desconocido,nada,mar
k0916.jpg,desconocido,desconocido,bajo,playa
s0218.jpg,Cancun,31/08/2019,bajo,playa
k0689.jpg,desconocido,desconocido,nada,playa
j0170.jpg,cancun,03/09/2019,nada,playa
k0357.jpg,desconocido,desconocido,nada,playa
k0419.jpg,desconocido,desconocido,bajo,playa
k0676.jpg,desconocido,desconocido,nada,playa
k0394.jpg,desconocido,desconocido,abundante,playa
k0867.jpg,desconocido,desconocido,nada,playa
s0555.jpg,Xcacel,19/07/2019,excesivo,playa
k0783.jpg,desconocido,desconocido,nada,playa
r129.jpg,"Playa Norte, Isla Mujeres, limpia después del paso del huracán Grace",20/08/2021,nada,playa
i0092.jpg,Xpu-Ha,29/08/2022,moderado,playa
k0115.jpg,desconocido,desconocido,nada,playa
r288.jpg,Xpu Ha ahora,12/02/2022,bajo,playa
s0699.jpg,Isla Mujeres,23/08/2019,nada,playa
r282.jpg,Playacar.,09/01/2022,moderado,playa
r322.jpg,Hoy en Xpu-Ha,20/03/2022,excesivo,playa
k0123.jpg,desconocido,desconocido,nada,playa
s0676.jpg,Playacar,19/09/2019,nada,playa
j0166.jpg,playa del carmen,03/09/2019,bajo,playa
s0118.jpg,Cancun,05/09/2019,moderado,aerea
s0583.jpg,ZorbaTulum,15/09/2019,nada,aerea
s0916.jpg,Puerto Morelos,22/08/2019,bajo,aerea
s0531.jpg,AkumalAkumal,15/09/2019,nada,playa
k0538.jpg,desconocido,desconocido,abundante,playa
s0898.jpg,Riviera Maya,23/09/2019,nada,playa
k0856.jpg,desconocido,desconocido,nada,playa
s0899.jpg,Akumal,23/09/2019,bajo,playa
k0762.jpg,desconocido,desconocido,nada,playa
k0805.jpg,desconocido,desconocido,nada,playa
